model,trained_via,primary_2024,national_recall_5pct_2024,waikato_recall_50_2024,waikato_ceiling_2024,pr_auc_2024,brier_2024,primary_2025,national_recall_5pct_2025,waikato_recall_50_2025,waikato_ceiling_2025,pr_auc_2025,brier_2025,guardrail_pass,boot_diff_2024,boot_ci_2024,excludes_zero_2024,boot_diff_2025,boot_ci_2025,excludes_zero_2025
gradient_boosted,local (TuiML cross-checked; see tuiml_run_log.md),0.2627978801747032,0.3176895306859206,0.14224137931034483,0.21551724137931033,0.3774678213374409,0.15713621745006223,0.28072555876676714,0.3194774346793349,0.1092436974789916,0.21008403361344538,0.3874113762753411,0.15864791244473034,True,0.04351712828066151,"[+0.0232, +0.0724]",True,0.08784318055374607,"[+0.0519, +0.1080]",True
gradient_boosted_calibrated,local (TuiML cross-checked; see tuiml_run_log.md),0.2622512027028899,0.31708784596871237,0.13793103448275862,0.21551724137931033,0.3677016832764122,0.058953928633355905,0.2794566194348375,0.3171021377672209,0.11764705882352941,0.21008403361344538,0.37680856377682315,0.06002268869418957,True,0.042970450808848204,"[+0.0229, +0.0720]",True,0.08657424122181645,"[+0.0528, +0.1069]",True
logistic_regression,local (TuiML cross-checked; see tuiml_run_log.md),0.2610173328284438,0.31708784596871237,0.1336206896551724,0.21551724137931033,0.37737489203162944,0.1654906222132029,0.27058988807263706,0.32007125890736343,0.1134453781512605,0.21008403361344538,0.38281105748594685,0.16369371131874386,True,0.041736580934402134,"[+0.0271, +0.0779]",True,0.077707509859616,"[+0.0466, +0.0989]",True
gradient_boosted_no_region,local (TuiML cross-checked; see tuiml_run_log.md),0.2560157305617273,0.32190132370637786,0.13793103448275862,0.21551724137931033,0.37329539179733207,0.15741532150432413,0.26787047880484754,0.32066508313539194,0.10504201680672269,0.21008403361344538,0.38761216382964936,0.15833684273603435,True,0.0367349786676856,"[+0.0218, +0.0695]",True,0.07498810059182648,"[+0.0419, +0.0979]",True
random_forest,local (TuiML cross-checked; see tuiml_run_log.md),0.24773604441361355,0.3176895306859206,0.13793103448275862,0.21551724137931033,0.36641534884830973,0.07867334577364686,0.25268565024362655,0.30997624703087884,0.11764705882352941,0.21008403361344538,0.37432124449460324,0.07950438336732991,True,0.02845529251957188,"[+0.0117, +0.0586]",True,0.05980327203060548,"[+0.0302, +0.0809]",True
baseline_recent_severe,local (baseline),0.21928075189404167,0.27557160048134777,0.10344827586206896,0.21551724137931033,,,0.19288237821302107,0.2749406175771972,0.08823529411764706,0.21008403361344538,,,True,,,False,,,False
baseline_smoothed_share,local (baseline),0.07015891376539579,0.06738868832731648,0.008620689655172414,0.21551724137931033,0.07726224716235629,0.07264573866457004,0.06459306115995897,0.07957244655581948,0.029411764705882353,0.21008403361344538,0.0864600627936476,0.07404030889352771,False,,,False,,,False
baseline_random,local (baseline),0.053001301000997106,0.05114320096269555,0.01293103448275862,0.21551724137931033,0.07957624663472557,0.32899574791221775,0.06258109479805553,0.06294536817102138,0.01680672268907563,0.21008403361344538,0.08415686878047718,0.32703291497754494,False,,,False,,,False
